開盤價,最高價,最低價,收盤價,漲跌價差,投信,自營商,外資
216.0,218.0,216.0,217.5,+1.50,-91,-1360,9283
217.5,218.0,215.5,216.5,-1.00,9,1146,-34
215.0,217.5,215.0,216.5, 0.00,-42,-249,-482
216.5,218.0,215.5,217.5,+1.00,-7,-739,154
218.0,218.0,216.5,218.0,+0.50,9,-1390,193
216.5,218.0,216.0,217.0,-1.00,-255,-2523,386
218.0,218.5,216.0,217.0, 0.00,127,-54,-4010
217.0,218.0,216.5,218.0,+1.00,-197,-258,2853
219.0,219.5,216.5,217.0,-1.00,-22,-64,-309
219.0,219.5,217.5,219.0,+2.00,357,-192,7984
217.5,219.0,217.5,218.0,-1.00,-107,-979,-1358
218.5,219.0,217.5,218.5,+0.50,222,-235,4036
218.5,219.0,217.0,218.5, 0.00,234,277,-4920
219.0,220.0,218.0,219.5,+1.00,-400,93,6647
221.5,221.5,220.0,221.5,+2.00,-204,-1163,5704
221.0,222.0,220.0,221.5, 0.00,-278,-1174,2842
221.0,223.0,220.0,221.0,-0.50,91,228,-41
221.5,222.0,218.5,218.5,-2.50,-14,277,-1086
217.5,218.5,217.0,217.0,-1.50,-292,-289,-3374
217.5,218.0,214.0,214.0,-3.00,584,283,-8132
217.5,217.5,215.0,215.0,+1.00,-54,-330,-2287
215.0,216.0,213.5,214.0,-1.00,-505,1012,-9579
216.0,217.5,215.5,216.5,+2.50,-162,-1779,8990
218.0,218.5,216.5,216.5, 0.00,-25,9,125
