成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,投信,自營商,外資
"2,479,299,242",85.80,86.30,85.60,86.00,-0.20,"11,126",122,2939,5781
"4,457,788,801",86.30,88.00,86.20,87.40,+1.40,"20,719",22,2388,12341
"3,062,504,326",87.70,87.90,87.20,87.60,+0.20,"14,271",168,-2987,10385
"2,958,132,698",87.40,88.00,85.60,87.60, 0.00,"15,649",561,-605,1504
"2,533,326,471",87.50,87.90,86.70,87.80,+0.20,"11,482",190,242,12399
"4,182,416,861",88.40,89.50,88.30,89.00,+1.20,"19,313",-46,2393,18844
"2,561,266,614",89.40,89.40,88.50,89.00, 0.00,"11,689",45,-564,6977
"2,600,290,616",89.00,89.00,87.90,87.90,-1.10,"13,436",-117,496,-8287
"3,128,322,065",87.80,89.00,87.80,88.80,+0.90,"13,651",461,-309,19725
"1,583,878,744",88.80,89.00,88.50,88.50,-0.30,"8,373",-14,487,-78
"2,479,145,408",87.50,88.30,87.40,87.50,-1.00,"11,605",-9,271,-6805
"1,468,395,434",88.00,88.00,87.50,88.00,+0.50,"6,655",-31,-528,4920
"1,942,409,709",88.00,88.80,87.80,88.40,+0.40,"9,045",-185,489,6596
"3,398,142,135",89.20,90.00,89.00,90.00,+1.60,"15,429",-243,3515,17865
"2,440,513,140",90.00,90.10,89.20,89.90,-0.10,"9,809",720,-2959,8582
"1,929,664,637",89.90,90.00,89.60,90.00,+0.10,"9,229",-98,-217,3891
"2,915,685,044",89.40,89.70,88.40,89.50,-0.50,"12,261",-100,-1218,5422
"10,419,755,060",86.50,87.80,86.00,86.20,-3.30,"50,090",-1164,6839,-57661
"3,663,700,908",85.80,87.20,85.50,87.20,+1.00,"21,857",-652,-339,-10473
"3,060,588,710",87.00,87.20,86.10,86.20,-1.00,"15,154",-686,125,-11163
"6,092,327,884",86.00,86.10,84.80,85.00,-1.20,"30,115",-384,1164,-31490
"3,521,344,024",84.90,86.00,84.50,85.70,+0.70,"17,091",-9,3755,-20167
"3,228,421,209",86.00,86.70,85.20,85.30,-0.40,"15,901",-468,-1332,-12179
"2,165,468,489",85.20,85.60,85.00,85.40,+0.10,"10,857",-3,911,-8724
"2,757,636,782",85.20,85.90,85.20,85.80,+0.40,"12,372",-242,2383,-15342
"3,795,051,619",86.20,87.10,86.10,86.70,+0.90,"19,155",96,4073,-10682
"5,048,818,953",86.90,88.50,86.90,88.50,+1.80,"23,994",-58,3481,-1587
"3,443,302,053",88.90,89.00,88.10,88.50, 0.00,"15,528",4,8310,-8386
"5,701,970,107",89.00,89.70,88.40,89.30,+0.80,"23,805",-3,17417,-5155
"4,092,761,544",89.30,89.50,88.70,89.00,-0.30,"18,053",158,12044,-7113
"6,074,873,604",88.70,88.90,88.00,88.00,-1.00,"25,682",54,8452,-15169
"9,071,572,991",87.20,87.80,86.80,87.40,-0.60,"37,318",282,21283,-20391
"12,233,653,270",76.60,77.90,76.30,77.20,X0.00,"68,979",33,-67075,-16697
"3,483,109,591",77.90,78.40,77.60,78.20,+1.00,"20,575",-40,-9812,2364
"4,058,307,905",78.80,79.90,78.60,79.80,+1.60,"23,722",458,-2492,8793
"4,754,313,420",80.40,80.80,79.50,79.50,-0.30,"29,494",33,681,-9231
"3,960,139,262",79.60,79.70,78.50,78.50,-1.00,"21,185",0,455,-23427
"2,856,282,829",77.80,77.90,77.50,77.70,-0.80,"18,781",-31,-1184,-18547
"1,811,772,316",76.80,78.30,76.70,78.00,+0.30,"12,853",105,-1563,-3188
"2,426,634,856",78.00,78.20,77.50,77.50,-0.50,"14,641",0,434,-20084
"2,925,547,673",78.30,78.50,76.80,77.20,-0.30,"16,394",56,-530,-11980
"3,411,367,947",77.20,78.20,77.20,77.40,+0.20,"14,616",891,201,-12597
"6,125,553,679",79.90,80.50,79.20,80.40,+3.00,"31,744",553,3029,22579
"3,325,929,443",80.50,80.70,80.00,80.20,-0.20,"18,417",1231,-1607,12481
